delta	energy_density
-0.01	94192767.16
-0.0075	53312241.47
-0.005	23867489.64
-0.0025	6427412.507
0	0
0.0025	6427431.805
0.005	23867484.81
0.0075	53312231.82
0.01	94192762.33
